latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-34.622143,-58.40909,37.0,-10800,America/Sao_Paulo,GMT-3

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2024-01-01,23.8,26.6,20.9,0.90
2024-01-02,23.1,26.0,20.8,4.40
2024-01-03,23.7,26.9,20.8,2.20
2024-01-04,24.3,27.3,21.3,0.50
2024-01-05,25.5,28.6,22.2,0.00
2024-01-06,25.8,27.8,24.4,13.00
2024-01-07,24.3,28.6,20.9,6.70
2024-01-08,24.4,29.1,18.5,0.10
2024-01-09,26.5,31.0,22.0,0.00
2024-01-10,25.2,28.5,21.0,0.30
2024-01-11,22.7,26.8,19.1,0.00
2024-01-12,21.1,24.0,18.0,0.00
2024-01-13,25.4,29.9,21.5,0.40
2024-01-14,25.2,31.6,21.0,2.80
2024-01-15,25.0,30.2,19.9,0.00
2024-01-16,23.7,26.5,20.2,12.40
2024-01-17,23.3,27.0,19.0,0.00
2024-01-18,24.7,28.1,21.5,0.60
2024-01-19,24.3,30.0,21.0,0.60
2024-01-20,22.0,27.0,15.8,0.00
2024-01-21,22.7,26.1,19.0,0.00
2024-01-22,23.7,27.3,20.4,0.00
2024-01-23,24.2,28.0,20.9,0.00
2024-01-24,24.9,28.1,20.9,0.00
2024-01-25,25.8,30.0,21.9,0.00
2024-01-26,25.8,29.4,22.1,0.00
2024-01-27,25.3,29.5,21.8,0.00
2024-01-28,25.1,28.5,22.4,0.00
2024-01-29,26.1,29.6,23.7,0.00
2024-01-30,28.0,32.2,23.2,0.00
2024-01-31,29.6,33.5,25.6,0.00
2024-02-01,31.1,36.1,26.2,0.00
2024-02-02,30.7,35.2,27.2,0.00
2024-02-03,30.8,36.1,25.2,0.40
2024-02-04,23.4,27.5,19.5,0.00
2024-02-05,26.0,31.5,22.4,0.00
2024-02-06,28.7,34.2,25.8,7.90
2024-02-07,28.2,30.3,25.7,6.20
2024-02-08,29.1,32.2,25.2,0.50
2024-02-09,26.1,30.4,23.9,12.10
2024-02-10,26.6,30.2,23.9,23.00
2024-02-11,27.0,31.3,22.0,0.00
2024-02-12,23.7,27.5,17.4,19.30
2024-02-13,18.1,22.5,13.4,0.00
2024-02-14,19.9,22.7,16.5,0.70
2024-02-15,23.2,26.1,20.2,0.00
2024-02-16,24.0,26.8,21.8,0.00
2024-02-17,24.4,27.6,21.5,0.00
2024-02-18,24.8,27.8,23.0,4.00
2024-02-19,24.0,30.1,19.5,0.00
2024-02-20,24.9,28.2,22.0,0.50
2024-02-21,26.1,29.5,23.6,0.00
2024-02-22,26.7,29.7,23.9,0.00
2024-02-23,25.2,29.0,22.6,0.30
2024-02-24,22.9,25.8,19.9,0.40
2024-02-25,23.4,26.4,20.8,0.60
2024-02-26,23.0,24.8,21.5,19.30
2024-02-27,23.7,26.5,20.9,0.20
2024-02-28,25.0,28.7,21.4,0.00
2024-02-29,24.1,28.0,21.0,6.00
2024-03-01,23.7,26.5,21.1,0.10
2024-03-02,24.7,28.5,22.4,13.40
2024-03-03,19.5,23.6,15.1,0.00
2024-03-04,20.1,25.1,14.4,0.00
2024-03-05,18.6,22.5,14.2,0.00
2024-03-06,20.0,24.0,15.8,0.00
2024-03-07,23.3,27.8,19.4,0.00
2024-03-08,23.9,26.3,21.4,0.70
2024-03-09,25.0,29.4,21.4,22.90
2024-03-10,23.5,27.6,19.4,0.00
2024-03-11,24.1,26.1,21.9,27.20
2024-03-12,23.7,25.6,22.9,25.90
2024-03-13,23.8,26.1,21.8,47.80
2024-03-14,23.6,26.2,21.8,38.60
2024-03-15,22.9,26.1,20.5,0.20
2024-03-16,23.6,27.4,21.6,4.30
2024-03-17,22.3,25.5,19.3,0.00
2024-03-18,23.8,27.4,22.2,21.70
2024-03-19,23.7,26.5,21.7,3.90
2024-03-20,23.0,24.8,19.8,67.40
2024-03-21,17.4,20.3,14.1,0.20
2024-03-22,16.9,20.4,12.1,0.00
2024-03-23,20.0,23.1,17.0,0.00
2024-03-24,22.4,26.9,17.4,0.00
2024-03-25,20.6,24.5,17.7,0.00
2024-03-26,20.0,22.6,17.6,0.00
2024-03-27,21.9,25.4,18.9,0.00
2024-03-28,22.3,25.4,19.6,0.00
2024-03-29,22.9,26.1,20.0,0.00
2024-03-30,24.2,30.3,19.2,2.00
2024-03-31,19.6,22.5,16.6,0.60
2024-04-01,18.5,20.1,15.9,0.20
2024-04-02,17.6,20.9,12.4,0.60
2024-04-03,18.4,19.2,15.6,23.60
2024-04-04,17.1,21.4,13.4,0.00
2024-04-05,19.3,24.1,12.9,0.00
2024-04-06,20.2,23.7,17.0,0.00
2024-04-07,19.8,22.3,15.8,0.00
2024-04-08,20.0,22.9,17.5,0.40
2024-04-09,20.3,25.4,15.6,0.40
2024-04-10,15.9,18.2,13.7,0.00
2024-04-11,14.8,18.1,11.1,0.00
2024-04-12,17.2,20.2,13.9,1.00
2024-04-13,18.8,20.2,17.4,17.00
2024-04-14,20.7,22.7,19.2,9.50
2024-04-15,21.7,23.7,20.3,15.70
2024-04-16,17.2,19.5,14.7,0.40
2024-04-17,17.2,22.1,13.2,0.00
2024-04-18,16.5,21.6,10.8,0.00
2024-04-19,19.9,25.0,16.0,0.00
2024-04-20,20.3,23.9,17.0,0.00
2024-04-21,19.8,22.1,16.9,4.80
2024-04-22,18.8,20.5,17.5,6.00
2024-04-23,17.4,20.5,13.5,0.20
2024-04-24,13.5,17.7,8.6,0.00
2024-04-25,15.8,17.1,14.7,20.70
2024-04-26,17.8,20.2,15.4,39.30
2024-04-27,14.0,18.0,9.8,0.00
2024-04-28,12.9,19.2,6.8,0.00
